id,hostname,created_time,condition,special_note
a4b5c6d7-e8f9-f0a1-d4e5-f6a7b8c9d0e1,relaxed_galvani,2025-06-22T02:00:00,1,
b5c6d7e8-f9a0-a1b2-e5f6-a7b8c9d0e1f2,determined_volta,2024-12-01T01:01:01,1,
c6d7e8f9-a0b1-b2c3-f6a7-b8c9d0e1f2a3,practical_hertz,2025-09-01T13:13:13,1,
d7e8f9a0-b1c2-c3d4-a7b8-c9d0e1f2a3b4,trusting_marconi,2025-04-12T16:00:00,1,
e8f9a0b1-c2d3-d4e5-b8c9-d0e1f2a3b4c5,romantic_bell,2024-10-01T10:10:10,2,Network latency is higher than the SLA.
f9a0b1c2-d3e4-e5f6-c9d0-e1f2a3b4c5d6,amazing_edison,2025-01-20T18:30:00,1,
a0b1c2d3-e4f5-f6a7-d0e1-f2a3b4c5d6e7,inspiring_tesla,2025-05-21T21:45:00,1,
b1c2d3e4-f5a6-a7b8-e1f2-a3b4c5d6e7f8,naughty_franklin,2025-08-30T15:00:00,1,
c2d3e4f5-a6b7-b8c9-f2a3-b4c5d6e7f8a9,hungry_davinci,2024-11-18T06:50:00,1,
d3e4f5a6-b7c8-c9d0-a3b4-c5d6e7f8a9b0,thirsty_montalcini,2025-07-11T12:12:12,1,
e4f5a6b7-c8d9-d0e1-b4c5-d6e7f8a9b0c1,objective_hodgkin,2025-03-03T03:03:03,1,
f5a6b7c8-d9e0-e1f2-c5d6-e7f8a9b0c1d2,keen_pasteur,2024-09-25T23:23:23,1,
a6b7c8d9-e0f1-f2a3-d6e7-f8a9b0c1d2e3,upbeat_goodall,2025-06-01T00:00:00,1,
b7c8d9e0-f1a2-a3b4-e7f8-a9b0c1d2e3f4,youthful_carson,2025-02-28T14:44:00,1,
c8d9e0f1-a2b3-b4c5-f8a9-b0c1d2e3f4a5,nostalgic_sagan,2024-12-15T19:55:00,1,
d9e0f1a2-b3c4-c5d6-a9b0-c1d2e3f4a5b6,serene_minsky,2025-09-18T11:30:00,2,Certificate expiring in 10 days.
e0f1a2b3-c4d5-d6e7-b0c1-d2e3f4a5b6c7,sleepy_neumann,2025-04-01T12:00:00,1,
f1a2b3c4-d5e6-e7f8-c1d2-e3f4a5b6c7d8,frosty_williams,2025-08-15T09:15:00,1,
a2b3c4d5-e6f7-f8a9-d2e3-f4a5b6c7d8e9,priceless_stallman,2024-10-05T22:00:00,3,HDFS service is down.
